Program,Description,Subject Areas,Impact Score,Earning Potential,Bachelors,Masters,PhD
Criminal Justice,"Study of crime, law enforcement, and the criminal justice system.","Law Enforcement, Criminology, Corrections, Forensics, Criminal Law",5,6,True,True,False
Dance,"Study of various dance styles, choreography, and performance techniques.","Ballet, Modern Dance, Jazz Dance, Choreography, Dance History and Theory",3,4,True,True,False
Data Science,Study of extracting insights and knowledge from structured and unstructured data.,"Data Mining, Machine Learning, Big Data Analytics, Data Visualization, Statistical Modeling",7,9,True,True,False
Digital Media,"Study of multimedia design, production, and distribution across various digital platforms.","Digital Video Production, Animation, Interactive Media, Game Design, Social Media Marketing",4,6,True,True,False
Earth Science,Study of the physical components and processes of the Earth and its surrounding environment.,"Geology, Meteorology, Oceanography, Environmental Science, Climate Science",8,6,True,True,True
Ecology,Study of the relationships between organisms and their environment.,"Population Ecology, Community Ecology, Ecosystem Ecology, Conservation Biology, Environmental Monitoring",9,6,True,True,True
Economics,"Study of production, distribution, and consumption of goods and services.","Microeconomics, Macroeconomics, Econometrics, International Economics, Financial Economics",5,9,True,True,True
Education,"Study of teaching methods, educational policies, and learning theories.","Curriculum and Instruction, Educational Psychology, Special Education, Educational Administration, Educational Technology",7,6,True,True,True
Electrical Engineering,Design and development of electrical and electronic systems and devices.,"Circuit Theory, Signal Processing, Control Systems, Power Systems, Electromagnetics",7,9,True,True,True
Emergency Management,"Study of preparedness, response, and recovery strategies for natural and human-caused disasters.","Disaster Planning, Risk Assessment, Crisis Communication, Emergency Operations, Continuity Planning",7,7,True,True,False
Engineering Management,Study of principles and practices for managing engineering projects and teams.,"Project Management, Engineering Economics, Quality Control, Technology Management, Leadership in Engineering",6,9,False,True,False
English Literature,"Study of literary works, authors, and critical theories.","Literary Analysis, Creative Writing, Literary Theory, Rhetoric, Composition",4,6,True,True,True
Entrepreneurship,"Study of identifying opportunities, developing business plans, and launching new ventures.","New Venture Creation, Business Planning, Entrepreneurial Finance, Marketing for Entrepreneurs, Innovation Management",6,8,True,True,False
Environmental Science,"Study of the natural environment, ecosystems, and environmental issues.","Ecology, Environmental Chemistry, Environmental Biology, Environmental Policy, Sustainability",9,6,True,True,True
Exercise Science,"Study of the scientific principles related to physical activity, fitness, and health.","Anatomy and Physiology, Biomechanics, Exercise Physiology, Sports Nutrition, Motor Learning and Control",6,6,True,True,False
Fashion Design,"Study of creating clothing and accessories, combining aesthetics and functionality.","Fashion Illustration, Pattern Making, Textile Design, Fashion Marketing, Fashion History",3,6,True,True,False
Film Studies,"Study of the art, history, and criticism of film and cinema.","Film History, Film Theory, Screenwriting, Film Production, Film Criticism and Analysis",3,5,True,True,False
Finance,"Study of financial markets, investments, and financial management.","Corporate Finance, Investments, Financial Institutions, Risk Management, Financial Engineering",4,9,True,True,True
Fine Arts,"Study and practice of visual arts, including painting, sculpture, and other art forms.","Drawing, Painting, Sculpture, Printmaking, Art History",3,5,True,True,False
Food Science,"Study of the physical, chemical, and biological properties of food and food processing.","Food Chemistry, Food Microbiology, Food Engineering, Food Safety and Regulations, Sensory Evaluation",7,6,True,True,True
Forensic Science,Study of the application of scientific principles and techniques to legal investigations.,"Crime Scene Investigation, Forensic Biology, Forensic Chemistry, Forensic Toxicology, Criminalistics",6,6,True,True,False
Forestry,"Study of managing forests and natural resources for conservation, recreation, and sustainability.","Forest Ecology, Silviculture, Forest Management, Natural Resource Policy, Timber Harvesting Techniques",8,6,True,True,True
Game Design,Study of designing and developing interactive games and gaming experiences.,"Game Programming, 3D Modeling and Animation, Level Design, Game Storytelling, User Experience Design",4,7,True,True,False
Geographic Information Systems (GIS),"Study of capturing, managing, analyzing, and displaying geographic data and spatial information.","Cartography, Remote Sensing, Spatial Analysis, Geospatial Programming, GIS Applications",6,7,True,True,False
Gerontology,"Study of the physical, mental, and social aspects of aging and the elderly population.","Biology of Aging, Psychology of Aging, Social Gerontology, Long-Term Care Administration, Health and Aging",6,6,True,True,False
Graphic Design,"Study of visual communication through the use of typography, imagery, and layout design.","Typography, Layout Design, Branding, Illustration, User Experience Design",4,6,True,True,False
Health Informatics,Study of the application of information technology in healthcare and medical settings.,"Electronic Health Records, Healthcare Data Analytics, Health Information Systems, Healthcare Cybersecurity, Clinical Decision Support",7,8,True,True,False
Health Sciences,"Study of various aspects of health, wellness, and healthcare delivery.","Community Health, Health Education, Healthcare Administration, Environmental Health, Epidemiology",7,7,True,True,False
History,"Study of past events, cultures, and societies, and their impact on the present.","World History, American History, European History, Ancient History, Historiography",5,6,True,True,True
Hospitality Management,Study of managing operations and services in the hospitality industry.,"Hotel Operations, Food and Beverage Management, Event Planning, Tourism Management, Hospitality Marketing",5,6,True,True,False
Human Development and Family Studies,Study of human growth and development across the lifespan within the context of families and relationships.,"Child Development, Family Dynamics, Parenting Studies, Lifespan Development, Family Counseling",6,6,True,True,False
Human Resources Management,"Study of personnel management, recruitment, training, and employee relations.","Talent Acquisition, Employee Relations, Compensation and Benefits, Training and Development, Labor Relations",5,8,True,True,False
Human-Computer Interaction (HCI),Study of designing and developing user-friendly interfaces and systems for human-computer interactions.,"User Experience Design, Usability Testing, Interface Design, Human Factors, Computer-Supported Cooperative Work",6,7,True,True,False
Industrial Design,"Study of designing products and systems that optimize usability, aesthetics, and functionality.","Product Design, User-Centered Design, Prototyping, Design Thinking, Manufacturing Processes",5,7,True,True,False
Industrial Engineering,"Study of optimizing complex processes and systems for productivity, efficiency, and quality improvement.","Operations Research, Facility Planning, Quality Control, Supply Chain Engineering, Systems Engineering",7,8,True,True,True
Information Systems,Study of information technology and its applications in business and organizations.,"Database Management, Systems Analysis and Design, IT Project Management, Cybersecurity, Business Intelligence",5,8,True,True,False
Interior Design,Study of designing and planning functional and aesthetically pleasing interior spaces.,"Space Planning, Computer-Aided Design, Sustainable Design, Building Codes and Regulations, Lighting and Acoustics",5,6,True,True,False
International Studies,"Study of global issues, cultures, and international relations from an interdisciplinary perspective.","Global Politics, International Development, Area Studies, International Economics, Foreign Languages",6,6,True,True,False
Journalism,"Study of news reporting, writing, and media production.","News Writing, Broadcast Journalism, Multimedia Journalism, Investigative Reporting, Media Law and Ethics",5,6,True,True,False
Linguistics,"Study of natural and artificial languages, including their structure, usage, and development.","Phonetics, Phonology, Syntax, Semantics, Language Acquisition",5,6,True,True,True
Marine Biology,"Study of marine organisms, ecosystems, and their interactions with the marine environment.","Marine Ecology, Marine Conservation, Oceanography, Marine Biotechnology, Fisheries Science",8,6,True,True,True
Marketing,Study of principles and practices related to promoting and selling products or services.,"Consumer Behavior, Market Research, Advertising, Digital Marketing, Brand Management",4,8,True,True,False
Materials Science and Engineering,"Study of the properties and applications of materials such as metals, ceramics, and polymers.","Materials Characterization, Nanotechnology, Biomaterials, Semiconductor Physics, Composite Materials",7,8,True,True,True
Mathematics,"Study of numbers, structures, space, and change through abstract reasoning and quantitative methods.","Calculus, Algebra, Statistics, Geometry, Applied Mathematics",6,7,True,True,True
Mechanical Engineering,"Design, development, and analysis of mechanical systems and thermal processes.","Mechanics, Thermodynamics, Materials Science, Computer-Aided Design, Manufacturing Processes",7,8,True,True,True
Microbiology,"Study of microscopic organisms, including bacteria, viruses, and fungi, and their interactions with other living things.","Bacteriology, Virology, Immunology, Parasitology, Microbial Genetics",8,7,True,True,True
Music,"Study and practice of music theory, composition, performance, and music history.","Music Theory, Musicology, Composition, Performance, Music Education",4,5,True,True,False
Neuroscience,"Study of the nervous system, including its structure, function, and disorders.","Neuroanatomy, Neurophysiology, Cognitive Neuroscience, Neuropharmacology, Neuroimaging",8,7,True,True,True
Nursing,Study of healthcare principles and practices to promote health and prevent illness.,"Adult Health Nursing, Pediatric Nursing, Mental Health Nursing, Community Health Nursing, Nursing Administration",8,8,True,True,True
Nutrition,"Study of the relationship between food, nutrients, and health.","Human Nutrition, Clinical Nutrition, Food Science, Community Nutrition, Nutritional Biochemistry",7,7,True,True,True
Philosophy,"Study of fundamental questions about existence, knowledge, values, reason, mind, and language.","Epistemology, Metaphysics, Ethics, Logic, History of Philosophy",5,6,True,True,True
Physics,"Study of matter, energy, and the interactions between them.","Classical Mechanics, Electromagnetism, Quantum Mechanics, Thermodynamics, Astrophysics",8,7,True,True,True
Political Science,"Study of government, politics, public policies, and political behavior.","American Politics, Comparative Politics, International Relations, Political Theory, Public Policy",6,7,True,True,True
Psychology,"Study of the human mind, behavior, and mental processes.","Clinical Psychology, Cognitive Psychology, Developmental Psychology, Social Psychology, Neuropsychology",5,7,True,True,True
Public Administration,"Study of public policy, government operations, and public service management.","Public Policy Analysis, Public Finance, Human Resources Management, Urban Planning, Nonprofit Management",6,7,True,True,True
Public Health,"Study of protecting and improving the health of communities through education, promotion, and disease prevention.","Epidemiology, Biostatistics, Health Policy and Management, Environmental Health Sciences, Global Health",8,7,True,True,True
Renewable Energy Engineering,"Study of technologies for harnessing renewable energy sources such as solar, wind, and hydro power.","Solar Energy Systems, Wind Energy Engineering, Biomass Conversion, Energy Policy and Economics, Energy Storage Technologies",9,8,True,True,False
Robotics,"Study of designing, building, and programming robots for various applications.","Robot Kinematics and Dynamics, Autonomous Systems, Human-Robot Interaction, Machine Learning in Robotics, Robotic Vision",7,8,True,True,True
Social Work,"Study of helping individuals, families, and communities overcome social and personal challenges.","Social Welfare Policy, Human Behavior in the Social Environment, Counseling and Psychotherapy, Community Organizing, Child and Family Services",7,6,True,True,True
Sociology,"Study of human social behavior, social interactions, and societal patterns.","Social Theory, Social Research Methods, Criminology, Family Studies, Race and Ethnic Studies",6,6,True,True,True
Software Engineering,"Study of software development processes, methodologies, and tools.","Software Design, Software Testing, Software Requirements Engineering, Software Project Management, Software Architecture",6,9,True,True,False
Sports Management,Study of the business and management aspects of sports organizations and events.,"Sports Marketing, Facility Management, Event Planning and Management, Sports Law and Ethics, Revenue Generation in Sports",4,6,True,True,False
Statistics,"Study of collecting, analyzing, interpreting, and presenting data.","Probability Theory, Experimental Design, Regression Analysis, Multivariate Analysis, Bayesian Statistics",6,8,True,True,True
Supply Chain Management,"Study of the flow of goods, services, and information within and across organizations.","Logistics Management, Procurement, Operations Management, Transportation Management, Inventory Control",6,8,True,True,False
Telecommunications Engineering,Study of designing and maintaining telecommunications systems and networks.,"Telecommunication Networks, Wireless Communication, Optical Fiber Communication, Network Security, Satellite Communication",6,8,True,True,True
Theatre Arts,"Study of dramatic literature, performance, and technical aspects of theatre production.","Acting, Directing, Playwriting, Theatre Design, Theatre History",3,5,True,True,False
Tourism and Hospitality,Study of managing and promoting tourism destinations and hospitality services.,"Tourism Marketing, Destination Management, Hotel Revenue Management, Sustainable Tourism Development, Cultural Heritage Tourism",5,6,True,True,False
Urban Design,"Study of creating and shaping urban environments for functionality, aesthetics, and sustainability.","Urban Planning Theory, Site Planning and Design, Landscape Architecture, Transportation Planning, Sustainable Urban Development",7,7,True,True,False
Urban Planning,"Study of the design, development, and management of urban areas and communities.","Community Development, Environmental Planning, Transportation Planning, Housing Policy, Land Use Planning",7,7,True,True,False
Veterinary Medicine,"Study of diagnosing, treating, and preventing diseases and injuries in animals.","Veterinary Anatomy, Pharmacology, Small Animal Medicine, Large Animal Medicine, Veterinary Surgery",8,8,False,False,True
Web Design and Development,Study of creating and maintaining websites and web applications.,"Web Design, Front-End Development, Back-End Development, User Experience Design, Web Accessibility",5,7,True,True,False
Women's Studies,"Study of gender, feminism, and the experiences and contributions of women.","Gender Studies, Feminist Theory, Women's History, Sexuality Studies, Intersectionality",6,6,True,True,True
Zoology,"Study of the biology, behavior, and classification of animals.","Animal Behavior, Animal Physiology, Ecology, Evolution, Conservation Biology",7,6,True,True,True
